ハチ高原スキー場,兵庫県美方郡香美町村岡区大笹中山580-1,0796-96-0201,gelande229,35.3834388,134.5351319,は
ばんしゅう戸倉スノーパーク,兵庫県宍粟市波賀町戸倉字下向山207,0790-73-0324,gelande230,35.2893019,134.5426986,ば
若杉高原大屋スキー場,兵庫県養父市大屋町若杉99-2,079-669-1576,gelande231,35.283182,134.589214,わ
スカイバレイスキー場,兵庫県美方郡香美町村岡区中大谷701,0796-96-0375,gelande232,35.3980208,134.5733312,す
おじろスキー場,兵庫県美方郡香美町小代区大谷463,0796-97-2717,gelande233,35.4642651,134.5162188,お
ハイパーボウル東鉢,兵庫県養父市別宮,079-667-8201,gelande234,35.3857473,134.5669874,は
氷ノ山国際スキー場,兵庫県養父市奈良尾509,079-667-7219,gelande235,35.3698713,134.5393097,ひ
但馬牧場公園スキー場,兵庫県美方郡新温泉町丹土1033,0796-92-1005,gelande236,35.5178239,134.4865642,た
六甲山＜人工＞スキー場,兵庫県神戸市灘区六甲山町北六甲4512-98,078-891-0366,gelande237,34.7670002,135.2419196,ろ
ちくさ高原ネイチャーランド,兵庫県宍粟市千種町西河内1047-218,0790-76-3555,gelande238,35.2203954,134.390097,ち
神鍋高原スキー場,兵庫県豊岡市日高町神鍋高原,0796-45-0800,gelande239,35.500614,134.668779,か
