スノーパーク尾瀬戸倉,群馬県利根郡片品村戸倉329,0278-58-7511,gelande371,36.8514314,139.2393664,す,尾瀬戸倉 OR 鳩待峠 OR 至仏山 OR from:tokumakun
たんばらスキーパーク,群馬県沼田市玉原高原,0278-23-9311,gelande372,36.7796511,139.0745617,た,たんばら OR from:tambaraskipark
奥利根スノーパーク,群馬県利根郡みなかみ町向山,0278-72-8101,gelande373,36.7990395,139.0092177,お,奥利根スノー OR from:minakamiokutone
川場スキー場,群馬県利根郡川場村川場高原,0278-52-3345,gelande374,36.7706946,139.1113278,か,川場スキー OR from:kawabaski OR from:M_kawaba
ノルン水上スキー場,群馬県利根郡みなかみ町寺間479-139,0278-72-6666,gelande375,36.7434781,138.942292,の,ノルン水上 OR ノルンスキー OR from:nornsnow
水上高原スキーリゾート,群馬県利根郡みなかみ町藤原6152-1,0278-75-2222,gelande376,36.85464,139.0763284,み,水上高原スキー OR from:minakami200l
丸沼高原スキー場,群馬県利根郡片品村東小川4658-58,0278-58-2211,gelande377,36.8148981,139.3301641,ま,丸沼 -書店
ホワイトワールド尾瀬岩鞍,群馬県利根郡片品村土出2609,0278-58-7777,gelande378,36.8149939,139.2200338,ほ,尾瀬岩鞍 OR 岩鞍スキー OR from:ozeiwakura_2011
かたしな高原スキー場,群馬県利根郡片品村越本2990,0278-58-2161,gelande379,36.8122028,139.228608,か,かたしな高原 OR 片品高原
サエラスキーリゾート尾瀬,群馬県利根郡片品村東小川4648,0278-58-4111,gelande380,36.76775,139.2557953,さ,サエラスキー OR from:CAETLA_OZE
ホワイトバレースキー場,群馬県利根郡みなかみ町谷川温泉,0278-72-5094,gelande381,36.7946946,138.9572336,ほ,ホワイトバレー -松原 OR from:whitevalleyski
水上高原藤原スキー場,群馬県利根郡みなかみ町藤原4957-1,0278-75-2321,gelande382,36.8520039,139.0671877,み,藤原スキー OR 水上高原藤原 OR from:fujiwaraski
谷川岳天神平スキー場,群馬県利根郡みなかみ町湯桧曽湯吹山国有林,0278-72-3575,gelande383,36.8165584,138.9502058,た,天神平 OR 田尻沢コース OR 谷川岳 OR トマの耳 OR 芝倉沢 OR from:tenjindaira
みなかみ町町営赤沢スキー場,群馬県利根郡みなかみ町永井,0278-66-1254,gelande384,36.7329964,138.830061,み,赤沢スキー
水上宝台樹スキー場,群馬県利根郡みなかみ町藤原3839-1,0278-75-2557,gelande385,36.8372255,139.078451,み,宝台樹 OR from:houdaigiskiarea
赤城山第三スキー場,群馬県前橋市富士見町赤城山,027-287-8402,gelande386,36.5434121,139.1873296,あ,赤城山第三スキー
武尊牧場スキー場,群馬県利根郡片品村花咲2797-2,0278-58-3756,gelande387,36.797951,139.1895078,ほ,武尊牧場 OR from:snowstylepark
スノーパル・オグナほたか,群馬県利根郡片品村花咲武尊山,0278-58-2133,gelande388,36.7779588,139.1715772,す,スノーパル OR オグナ武尊 OR 前武尊 OR おぐな武尊 OR 荒砥沢
大穴スキー場,群馬県利根郡みなかみ町大穴277,0278-72-2354,gelande389,36.7969063,138.9860839,お,大穴スキー OR from:oana_ski
赤城山第一スキー場,群馬県前橋市富士見町赤城山,027-288-2211,gelande390,36.5458401,139.1839686,あ,赤城山第一スキー
